iata_code,id_0,id_1,id_2,id_3,id_4,id_5
AJK,irn_107_gadm2-8,irn_107_8_gadm2-8,irn_107_8_76_gadm2-8,,,
AJL,ind_105_gadm2-8,ind_105_23_gadm2-8,ind_105_23_401_gadm2-8,ind_105_23_401_1455_gadm2-8,,
AJN,com_54_gadm2-8,com_54_1_gadm2-8,,,,
AJO,sau_200_gadm2-8,sau_200_4_gadm2-8,,,,
AJR,swe_222_gadm2-8,swe_222_11_gadm2-8,swe_222_11_94_gadm2-8,,,
AJS,mex_145_gadm2-8,mex_145_2_gadm2-8,mex_145_2_12_gadm2-8,,,
AJU,bra_33_gadm2-8,bra_33_26_gadm2-8,bra_33_26_5295_gadm2-8,bra_33_26_5295_9964_gadm2-8,,
AJY,ner_162_gadm2-8,ner_162_1_gadm2-8,ner_162_1_3_gadm2-8,ner_162_1_3_4_gadm2-8,,
AKA,chn_49_gadm2-8,chn_49_22_gadm2-8,chn_49_22_234_gadm2-8,chn_49_22_234_1541_gadm2-8,,
AKB,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_69_gadm2-8,,,
AKC,usa_244_gadm2-8,usa_244_36_gadm2-8,usa_244_36_2074_gadm2-8,,,
AKD,ind_105_gadm2-8,ind_105_20_gadm2-8,ind_105_20_342_gadm2-8,ind_105_20_342_1114_gadm2-8,,
AKE,gab_83_gadm2-8,gab_83_2_gadm2-8,gab_83_2_5_gadm2-8,,,
AKF,lby_128_gadm2-8,lby_128_6_gadm2-8,,,,
AKG,png_175_gadm2-8,png_175_18_gadm2-8,png_175_18_71_gadm2-8,,,
AKH,sau_200_gadm2-8,sau_200_7_gadm2-8,,,,
AKI,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_71_gadm2-8,,,
AKJ,jpn_114_gadm2-8,jpn_114_12_gadm2-8,jpn_114_12_461_gadm2-8,,,
AKK,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_80_gadm2-8,,,
AKL,nzl_160_gadm2-8,nzl_160_1_gadm2-8,nzl_160_1_5_gadm2-8,nzl_160_1_5_48_gadm2-8,,
AKM,tcd_47_gadm2-8,tcd_47_18_gadm2-8,tcd_47_18_44_gadm2-8,tcd_47_18_44_273_gadm2-8,,
AKN,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_72_gadm2-8,,,
AKO,usa_244_gadm2-8,usa_244_6_gadm2-8,usa_244_6_303_gadm2-8,,,
AKP,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_84_gadm2-8,,,
AKQ,idn_106_gadm2-8,idn_106_19_gadm2-8,idn_106_19_250_gadm2-8,,,
AKR,nga_163_gadm2-8,nga_163_29_gadm2-8,nga_163_29_590_gadm2-8,,,
AKS,slb_209_gadm2-8,slb_209_7_gadm2-8,slb_209_7_103_gadm2-8,,,
AKT,xad_2_gadm2-8,xad_2_1_gadm2-8,,,,
AKU,chn_49_gadm2-8,chn_49_28_gadm2-8,chn_49_28_296_gadm2-8,chn_49_28_296_2049_gadm2-8,,
AKV,can_42_gadm2-8,can_42_11_gadm2-8,can_42_11_259_gadm2-8,can_42_11_259_4244_gadm2-8,,
AKW,irn_107_gadm2-8,irn_107_15_gadm2-8,irn_107_15_144_gadm2-8,,,
AKX,kaz_117_gadm2-8,kaz_117_3_gadm2-8,kaz_117_3_36_gadm2-8,,,
AKY,mmr_154_gadm2-8,mmr_154_11_gadm2-8,mmr_154_11_33_gadm2-8,mmr_154_11_33_160_gadm2-8,,
ALA,kaz_117_gadm2-8,kaz_117_1_gadm2-8,kaz_117_1_3_gadm2-8,,,
ALB,usa_244_gadm2-8,usa_244_33_gadm2-8,usa_244_33_1831_gadm2-8,,,
ALC,esp_215_gadm2-8,esp_215_10_gadm2-8,esp_215_10_35_gadm2-8,esp_215_10_35_248_gadm2-8,esp_215_10_35_248_6348_gadm2-8,
ALD,per_178_gadm2-8,per_178_18_gadm2-8,per_178_18_145_gadm2-8,per_178_18_145_1459_gadm2-8,,
ALE,usa_244_gadm2-8,usa_244_44_gadm2-8,usa_244_44_2549_gadm2-8,,,
ALF,nor_169_gadm2-8,nor_169_5_gadm2-8,nor_169_5_80_gadm2-8,,,
ALG,dza_5_gadm2-8,dza_5_4_gadm2-8,dza_5_4_97_gadm2-8,,,
ALH,aus_15_gadm2-8,aus_15_11_gadm2-8,aus_15_11_1255_gadm2-8,,,
ALI,usa_244_gadm2-8,usa_244_44_gadm2-8,usa_244_44_2652_gadm2-8,,,
ALJ,zaf_211_gadm2-8,zaf_211_8_gadm2-8,zaf_211_8_44_gadm2-8,zaf_211_8_44_195_gadm2-8,zaf_211_8_44_195_3809_gadm2-8,
ALK,eth_74_gadm2-8,eth_74_8_gadm2-8,eth_74_8_27_gadm2-8,eth_74_8_27_230_gadm2-8,,
ALL,ita_112_gadm2-8,ita_112_9_gadm2-8,ita_112_9_44_gadm2-8,ita_112_9_44_2759_gadm2-8,,
ALM,usa_244_gadm2-8,usa_244_32_gadm2-8,usa_244_32_1817_gadm2-8,,,
ALN,usa_244_gadm2-8,usa_244_14_gadm2-8,usa_244_14_650_gadm2-8,,,
ALO,usa_244_gadm2-8,usa_244_16_gadm2-8,usa_244_16_795_gadm2-8,,,
ALP,syr_224_gadm2-8,syr_224_2_gadm2-8,syr_224_2_10_gadm2-8,,,
ALQ,bra_33_gadm2-8,bra_33_21_gadm2-8,bra_33_21_3827_gadm2-8,bra_33_21_3827_7237_gadm2-8,,
ALR,nzl_160_gadm2-8,nzl_160_11_gadm2-8,nzl_160_11_45_gadm2-8,nzl_160_11_45_267_gadm2-8,,
ALS,usa_244_gadm2-8,usa_244_6_gadm2-8,usa_244_6_243_gadm2-8,,,
ALT,bra_33_gadm2-8,bra_33_14_gadm2-8,bra_33_14_2402_gadm2-8,bra_33_14_2402_4765_gadm2-8,,
ALU,som_210_gadm2-8,som_210_4_gadm2-8,som_210_4_13_gadm2-8,,,
ALV,esp_215_gadm2-8,esp_215_6_gadm2-8,esp_215_6_30_gadm2-8,esp_215_6_30_228_gadm2-8,esp_215_6_30_228_5781_gadm2-8,
ALW,usa_244_gadm2-8,usa_244_48_gadm2-8,usa_244_48_2993_gadm2-8,,,
ALX,usa_244_gadm2-8,usa_244_1_gadm2-8,usa_244_1_62_gadm2-8,,,
ALY,egy_69_gadm2-8,egy_69_6_gadm2-8,egy_69_6_76_gadm2-8,,,
